mlb_id,mlb_name,mlb_pos,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos,
456714,Billy Butler,DH,R,R,4/18/1986,45396,butlebi03,Billy Butler,584800,Billy Butler,DH,6396,Billy Butler,DH,7399,Billy Butler,1B/DH,butlebi03,7634,Billy Butler,DH,butlb003,Billy Butler,7634,Billy Butler,753,Billy Butler,Util,8282,Billy Butler,1B,
571740,Billy Hamilton,CF,S,R,9/9/1990,59654,hamilbi02,Billy Hamilton,1799465,Billy Hamilton,CF,31042,Billy Hamilton,CF,10199,Billy Hamilton,OF,hamilbi02,9113,Billy Hamilton,CF,hamib001,Billy Hamilton,9113,Billy Hamilton,11967,Billy Hamilton,OF,10981,Billy Hamilton,OF,
641856,Billy McKinney,LF,L,L,8/23/1994,102667,mckinbi01,Billy McKinney,2066306,Billy McKinney,RF,33196,Billy McKinney,RF,15654,Billy McKinney,OF,mckinbi01,9860,Billy McKinney,RF,mckib001,Billy McKinney,9860,Billy McKinney,18436,Billy McKinney,OF,12969,Billy McKinney,OF,
543278,Blaine Hardy,P,L,L,3/14/1987,57948,hardybl01,Blaine Hardy,1741050,Blaine Hardy,RP,30815,Blaine Hardy,RP,6499,Blaine Hardy,P,hardybl01,9732,Blaine Hardy,P,hardb001,Blaine Hardy,9732,Blaine Hardy,8688,Blaine Hardy,RP,13279,Blaine Hardy,P,
518444,Blake Beavan,P,R,R,1/17/1989,57741,beavabl01,Blake Beavan,1755140,Blake Beavan,SP,31018,Blake Beavan,SP,338,Blake Beavan,,beavabl01,8981,Blake Beavan,P,beavb001,Blake Beavan,8981,Blake Beavan,7840,Blake Beavan,RP,9765,Blake Beavan,P,
664977,Blake Cederlind,P,R,R,1/4/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
503351,Blake Lalli,1B,L,R,5/12/1983,50568,lallibl01,Blake Lalli,1732410,Blake Lalli,C,30593,Blake Lalli,C,9246,Blake Lalli,C/1B,lallibl01,9187,Blake Lalli,1B,lallb001,Blake Lalli,9187,Blake Lalli,2836,Blake Lalli,Util,12440,Blake Lalli,C,
453284,Blake Parker,P,R,R,6/19/1985,51962,parkebl01,Blake Parker,1725475,Blake Parker,RP,30517,Blake Parker,RP,5224,Blake Parker,P,parkebl01,9185,Blake Parker,P,parkb001,Blake Parker,9185,Blake Parker,5582,Blake Parker,RP,11301,Blake Parker,P,
666164,Blake Rutherford,RF,L,R,5/2/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
544930,Blake Smith,P,L,R,12/9/1987,60842,smithbl01,Blake Smith,1812245,Blake Smith,RP,31428,Blake Smith,RP,9780,Blake Smith,P,smithbl01,10400,Blake Smith,P,smitb006,Blake Smith,10400,Blake Smith,5979,Blake Smith,RP,11017,Blake Smith,P,
605483,Blake Snell,P,L,L,12/4/1992,70271,snellbl01,Blake Snell,2006996,Blake Snell,SP,33748,Blake Snell,SP,13543,Blake Snell,P,snellbl01,10148,Blake Snell,P,snelb001,Blake Snell,10148,Blake Snell,18460,Blake Snell,SP,12189,Blake Snell,P,
596119,Blake Swihart,C,S,R,4/3/1992,70407,swihabl01,Blake Swihart,1894641,Blake Swihart,LF,32123,Blake Swihart,RF,13176,Blake Swihart,C,swihabl01,9549,Blake Swihart,LF,swihb001,Blake Swihart,9549,Blake Swihart,18134,Blake Swihart,C/OF,12138,Blake Swihart,C,
642130,Blake Taylor,P,L,L,8/17/1995,102762,taylobl01,Blake Taylor,2066817,Blake Taylor,RP,42342,Blake Taylor,SP,,,,,11664,Blake Taylor,P,,,,,,,,,,,
493574,Blake Tekotte,OF,L,R,5/24/1987,58733,tekotbl01,Blake Tekotte,1666696,Blake Tekotte,CF,30842,Blake Tekotte,CF,8810,Blake Tekotte,OF,tekotbl01,8939,Blake Tekotte,OF,tekob001,Blake Tekotte,8939,Blake Tekotte,4797,Blake Tekotte,Util,10586,Blake Tekotte,OF,
